CVEGEO,SEMANA 1,SEMANA 2,SEMANA 3,SEMANA 4,SEMANA 5,SEMANA 6,SEMANA 7,SEMANA 8,SEMANA 9,SEMANA 10,SEMANA 11,SEMANA 12,SEMANA 13,SEMANA 14,SEMANA 15,SEMANA 16,SEMANA 17,SEMANA 18,SEMANA 19,SEMANA 20
07054,1,1,1,1,1,2,2,2,2,2,3,3,4,4,4,4,4,4,4,4
07055,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4,4
07056,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4
07057,1,1,1,1,1,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4
07058,1,1,1,1,1,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4
07059,1,1,1,1,1,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4
07060,1,1,1,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4
07061,1,1,1,1,1,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4
07062,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4
07063,1,1,1,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4
07064,1,1,1,1,1,1,1,1,2,2,3,3,3,4,4,4,4,4,4,4
07065,1,1,1,1,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4
07066,1,1,1,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4
07067,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4
07068,1,1,1,1,1,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4
07069,1,1,1,1,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4
07070,1,1,1,1,1,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4
07071,1,1,1,1,1,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4
07072,1,1,1,1,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4
07073,1,1,1,1,1,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4
07074,1,1,1,1,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4
07075,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4
07076,1,1,1,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4
07077,1,1,1,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4
07078,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4
07079,1,1,1,1,1,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4
07080,1,1,1,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4
07081,1,1,1,1,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4
07082,1,1,1,1,1,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4
07083,1,1,1,1,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4
07084,1,1,1,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4
07085,1,1,1,1,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4
07086,1,1,1,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4
07087,1,1,1,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4
07088,1,1,1,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4
07089,1,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4
07090,1,1,1,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4
07091,1,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4
07092,1,1,1,1,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4
07093,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4
07094,1,1,1,1,1,2,2,2,2,2,3,3,4,4,4,4,4,4,4,4
07096,1,1,1,2,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4
07097,1,1,1,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4
07098,1,1,1,1,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4
07099,1,1,1,1,1,2,2,2,2,2,3,3,4,4,4,4,4,4,4,4
07100,1,1,1,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4
07101,1,1,1,1,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4
07102,1,1,1,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4
07103,1,1,1,1,1,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4
07104,1,1,1,1,1,1,2,2,2,2,3,3,3,4,4,4,4,4,4,4
07105,1,1,1,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4
07106,1,1,1,1,1,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4
07107,1,1,1,1,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4
07108,1,1,1,1,1,1,1,1,2,2,3,3,3,4,4,4,4,4,4,4
07109,1,1,1,1,1,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4
07110,1,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4
07111,1,1,1,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4
07112,1,1,1,1,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4
07113,1,1,1,1,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4
07114,1,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4
07115,1,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4
07116,1,1,1,1,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4
07117,1,1,1,1,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4
07118,1,1,1,1,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4
07119,1,1,1,1,1,2,2,2,2,2,2,3,3,4,4,4,4,4,4,4
07120,1,1,1,2,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4
07121,1,1,1,1,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4
07122,1,1,1,1,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4
07123,1,1,1,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4
07124,1,1,1,1,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4
07125,1,1,1,1,1,1,1,2,2,3,3,3,3,4,4,4,4,4,4,4
08001,1,1,1,1,1,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4
08002,1,1,1,1,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4
08003,1,1,1,1,2,2,2,2,2,2,2,3,4,4,4,4,4,4,4,4
08004,1,1,1,1,1,2,2,2,2,3,3,4,4,4,4,4,4,4,4,4
08005,1,1,1,1,1,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4
08006,1,1,1,2,2,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4
08007,1,1,1,1,2,2,2,2,2,2,3,3,4,4,4,4,4,4,4,4
08008,1,1,2,2,2,2,2,2,2,2,3,3,4,4,4,4,4,4,4,4
08009,1,1,1,1,1,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4
08010,1,1,1,1,1,2,2,3,3,3,3,4,4,4,4,4,4,4,4,4
08011,1,1,1,1,1,1,1,2,2,2,2,2,3,4,4,4,4,4,4,4
08012,1,1,1,2,2,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4
08013,1,1,1,1,1,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4
08014,1,1,1,1,1,2,2,2,2,2,2,2,3,4,4,4,4,4,4,4
08015,1,1,1,1,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4
08016,1,1,1,1,2,2,2,2,2,3,3,4,4,4,4,4,4,4,4,4
08017,1,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4
08018,1,1,1,1,2,2,2,2,2,2,2,3,3,4,4,4,4,4,4,4
08019,1,1,1,1,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4
08020,1,1,1,1,1,2,2,2,2,2,3,3,4,4,4,4,4,4,4,4
08021,1,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4
08022,1,1,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4
08023,1,1,1,1,1,2,2,2,2,3,3,4,4,4,4,4,4,4,4,4
08024,1,1,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4
08025,1,1,1,1,1,1,2,2,3,3,3,4,4,4,4,4,4,4,4,4
08026,1,1,1,2,2,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4
08027,1,1,1,1,1,2,2,2,2,2,2,3,3,4,4,4,4,4,4,4
08028,1,1,1,1,1,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4
08029,1,1,1,1,1,2,2,2,2,2,2,3,3,4,4,4,4,4,4,4
08030,1,1,1,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4
08031,1,1,1,2,2,2,2,2,2,2,2,3,3,4,4,4,4,4,4,4
08032,1,1,1,1,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4
08033,1,1,1,2,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4
08034,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4,4
08035,1,1,2,2,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4
08036,1,1,1,1,1,1,1,2,2,2,2,2,3,4,4,4,4,4,4,4
08037,1,1,1,1,1,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4
08038,1,1,1,1,1,1,2,2,2,3,3,3,3,4,4,4,4,4,4,4
08039,1,1,1,1,1,1,1,2,2,2,2,3,3,4,4,4,4,4,4,4
08040,1,1,1,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4
08041,1,1,1,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4
08042,1,1,2,2,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4
08043,1,1,1,1,1,2,2,2,2,3,3,4,4,4,4,4,4,4,4,4
08044,1,1,1,1,1,1,1,2,2,2,2,2,3,3,4,4,4,4,4,4
08045,1,1,1,1,1,1,1,2,2,2,3,4,4,4,4,4,4,4,4,4
08046,1,1,2,2,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4
08047,1,1,1,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4,4
08048,1,1,1,1,1,2,2,2,2,2,2,3,3,4,4,4,4,4,4,4
08049,1,1,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4,4
08050,1,1,1,2,2,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4
08051,1,1,1,2,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4
08052,1,1,1,2,2,2,2,2,2,3,3,4,4,4,4,4,4,4,4,4
08053,1,1,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4
08054,1,1,1,2,2,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4
08055,1,1,1,1,1,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4
08056,1,1,1,1,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4
08057,1,1,2,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4
08058,1,1,1,1,2,2,2,2,2,2,2,3,3,4,4,4,4,4,4,4
08059,1,1,1,2,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4
08060,1,1,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4
08061,1,1,1,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4,4
08062,1,1,2,2,2,2,2,2,2,3,3,4,4,4,4,4,4,4,4,4
08063,1,1,1,1,1,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4
08064,1,1,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4
08065,1,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4
08066,1,1,1,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4
08067,1,1,1,2,2,2,2,2,2,2,2,3,3,4,4,4,4,4,4,4
09002,1,1,1,1,1,1,1,1,2,2,3,3,3,3,3,3,3,3,3,3
09003,1,1,1,1,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4
09004,1,1,1,1,1,1,1,2,2,2,3,3,3,3,3,4,4,4,4,4
09005,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,4,4,4,4,4
09006,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,4,4,4,4,4
09007,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,4,4
09008,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,4,4,4,4,4
09009,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,4,4,4,4,4
09010,1,1,1,1,1,1,1,1,2,2,3,3,3,3,3,4,4,4,4,4
09011,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,4,4,4,4,4
09012,1,1,1,1,1,1,1,1,2,2,3,3,3,3,3,4,4,4,4,4
09013,1,1,1,1,1,1,1,1,2,2,3,3,3,3,3,4,4,4,4,4
09014,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,4,4,4,4,4
09015,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4
09016,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3
09017,1,1,1,1,1,1,1,1,2,2,3,3,3,3,3,3,3,3,3,3
10001,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4
10002,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4
10003,1,1,1,1,1,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4
10004,1,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4
10005,1,1,1,1,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4
10006,1,1,1,1,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4
10007,1,1,1,1,1,1,1,2,2,3,3,3,4,4,4,4,4,4,4,4
10008,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4
10009,1,1,1,1,1,1,1,2,2,3,3,3,3,4,4,4,4,4,4,4
10010,1,1,1,1,1,1,2,2,2,3,3,3,3,4,4,4,4,4,4,4
10011,1,1,1,1,1,1,2,2,2,3,3,3,3,4,4,4,4,4,4,4
10012,1,1,1,1,1,1,2,2,2,3,3,3,4,4,4,4,4,4,4,4
10013,1,1,1,1,1,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4
10014,1,1,1,1,2,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4
10015,1,1,1,1,1,1,1,2,2,3,3,3,3,4,4,4,4,4,4,4
10016,1,1,1,1,2,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4
10017,1,1,1,1,1,1,1,2,2,3,3,3,3,4,4,4,4,4,4,4
10018,1,1,1,1,1,1,1,2,2,3,3,3,3,4,4,4,4,4,4,4
10019,1,1,1,1,1,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4
10020,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4
10021,1,1,1,1,1,2,2,2,2,3,3,4,4,4,4,4,4,4,4,4
10022,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4
10023,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4
10024,1,1,1,1,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4
10025,1,1,1,1,1,1,1,2,2,3,3,3,3,4,4,4,4,4,4,4
10026,1,1,1,1,2,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4
10027,1,1,1,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4
10028,1,1,1,1,1,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4
10029,1,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4
